GATE_SS_UW: -538.3373,2187.947,-544.2719,2035.353,2,0
SS_H01: -1136.567,-508.1629,-965.5801,-482.103,0,1
SS_I02: -169.5667,-1051.16,-162.5802,-981.1029,0,1
SS_I03: -378.5667,585.8371,-304.5803,584.8971,0,3
SS_WJets: -1597.182,-313.6103,-1629.896,-128,2,1
SS_L01: 243.433,1415.836,142.4198,1219.896,0,5
SS_LAB1: 1202.433,597.8371,977.4196,653.8971,0,2
SS_LAB10: 1202.433,358.8369,973.4196,371.8971,0,4
SS_LAB11: 1040.433,356.8369,824.4196,371.8971,0,0
SS_LAB12: 1523.433,477.8368,1252.42,518.8971,0,0
SS_LAB13: 1365.433,718.8366,1118.419,781.8971,0,2
SS_LAB2: 1364.433,593.8366,1114.419,651.8971,0,2
SS_LAB3: 1366.433,476.8368,1114.419,518.8971,0,2
SS_LAB4: 1521.433,358.8369,1253.42,370.8971,0,4
SS_LAB5: 1364.433,357.8369,1114.419,371.8971,0,4
SS_LAB6: 1524.433,594.8366,1254.42,651.8971,0,2
SS_LAB7: 1038.433,476.837,828.4196,521.8971,0,2
SS_LAB8: 1038.433,594.8371,827.4196,661.8971,0,2
SS_LAB9: 1204.433,476.837,975.4196,519.8971,0,2
SS_WOnescreen: -2075.182,-185.6103,-1519.896,36.99995,2,1
SS_S01: 224.4366,-1567.39,324.1957,-1737.759,0,0
SS_S02: -883.9468,-566.6874,-541.4511,-449.1897,1,0
SS_S03: 1214.644,-337.4305,742.4886,-434.8873,2,0
SS_S04: -384.9529,2078.078,-407.0636,1903.126,2,0
SS_S05: -850.8248,288.3182,-547.5818,472.9863,0,0
SS_WChamber: -2537.182,-393.6103,-1902.896,-135,2,1
SS_WHall: -2328.182,-213.6103,-1774.896,13.99996,2,1
SS_WZapE: -2205.182,52.38968,-1550.896,162,0,0
SS_WZapNon: -1825.182,94.38965,-1398.896,167,0,0
SS_WZapZag: -1958.182,445.3897,-1559.896,652.9999,0,3
OffScreenDen_SS: -300.5667,521.837,16.41938,336.897,1,1
Connection: GATE_SS_UW,SS_D08,45,9,5,10,0,2
Connection: GATE_UW_SS,SS_A19,36,19,9,7,1,3
Connection: SS_A01,SS_LAB13,2,31,43,31,2,0
Connection: SS_A01,SS_LAB6,25,2,29,31,3,1
Connection: SS_A03,SS_A16,18,31,5,4,1,3
Connection: SS_A03,SS_WZapNon,12,2,146,12,2,0
Connection: SS_A03,SS_A15,62,3,36,32,3,1
Connection: SS_A04,SS_E02,2,31,139,1,1,3
Connection: SS_A04,SS_B06,45,5,5,22,0,2
Connection: SS_A08,SS_B01,38,30,41,5,1,3
Connection: SS_A08,SS_A19,3,13,39,13,2,0
Connection: SS_A08,SS_S01,40,13,24,12,0,3
Connection: SS_A09,SS_A10,18,31,14,2,1,3
Connection: SS_A09,SS_B01,43,19,3,61,0,2
Connection: SS_A09,SS_WChamber,43,1,43,9,3,0
Connection: SS_A10,SS_I02,23,27,126,13,1,3
Connection: SS_A10,SS_WJets,3,20,242,17,2,0
Connection: SS_A10,SS_B05,44,20,4,22,0,2
Connection: SS_A11,SS_I03,23,32,67,5,1,3
Connection: SS_A11,SS_D03,23,2,56,73,3,1
Connection: SS_A13,SS_D05,40,32,4,72,1,2
Connection: SS_A13,SS_B04,40,4,35,74,3,1
Connection: SS_A14,SS_LAB13,43,31,9,31,0,2
Connection: SS_A14,SS_LAB1,26,2,27,31,3,1
Connection: SS_A15,SS_E02,44,18,5,19,0,2
Connection: SS_A15,SS_C06,24,3,21,113,3,1
Connection: SS_A16,SS_C03,41,31,90,10,1,0
Connection: SS_A17,SS_LAB7,45,31,9,31,0,2
Connection: SS_A17,SS_C08,2,18,148,31,2,0
Connection: SS_A17,SS_E03,42,2,44,184,3,1
Connection: SS_A18,SS_F03,43,21,3,20,0,2
Connection: SS_A18,SS_D06,10,4,97,74,3,1
Connection: SS_AI,SS_L01,20,33,88,127,1,3
Connection: SS_AI,SS_D07,28,33,188,5,1,3
Connection: SS_B02,SS_C03,3,74,95,17,2,0
Connection: SS_B02,SS_S05,45,70,16,27,0,2
Connection: SS_B02,SS_E02,23,5,125,32,3,1
Connection: SS_B03,SS_D04,22,74,88,9,1,3
Connection: SS_B03,SS_E01,22,7,126,32,3,1
Connection: SS_B04,SS_S03,21,74,21,12,1,3
Connection: SS_B04,SS_E04,3,65,251,19,2,0
Connection: SS_B04,SS_D05,44,51,2,10,0,2
Connection: SS_B04,SS_F03,21,6,24,225,3,1
Connection: SS_B05,SS_D06,96,28,6,73,0,2
Connection: SS_B06,SS_D04,98,15,4,72,0,2
Connection: SS_C02,SS_I02,44,110,74,12,1,3
Connection: SS_C02,SS_F01,2,19,44,20,2,0
Connection: SS_C03,SS_WZapZag,3,108,145,21,2,0
Connection: SS_C03,SS_C07,95,108,4,18,0,2
Connection: SS_C04,SS_E03,140,31,25,2,1,3
Connection: SS_C04,SS_D04,2,29,101,56,2,0
Connection: SS_C06,SS_H01,19,8,7,68,3,2
Connection: SS_C07,SS_I03,147,17,2,63,0,2
Connection: SS_C08,SS_E06,4,30,123,3,1,3
Connection: SS_D02,SS_E06,3,74,248,31,2,0
Connection: SS_D02,SS_LAB8,101,46,4,6,0,2
Connection: SS_D03,SS_E02,7,12,251,16,2,0
Connection: SS_D03,SS_D04,94,5,90,75,3,1
Connection: SS_D05,SS_E05,93,70,38,3,1,3
Connection: SS_D07,SS_E08,13,32,11,9,1,3
Connection: SS_D08,SS_S04,38,8,35,25,3,1
Connection: SS_D08,SS_E08,80,43,12,185,3,1
Connection: SS_E01,SS_F02,5,16,101,54,2,0
Connection: SS_E01,SS_E04,251,16,5,16,0,2
Connection: SS_E01,SS_I02,126,4,54,118,3,1
Connection: SS_E05,SS_LAB4,3,185,8,3,1,2
Connection: SS_E06,SS_E07,126,31,20,8,1,3
Connection: SS_E06,SS_I03,4,18,151,55,2,0
Connection: SS_E07,SS_L01,22,187,76,10,1,3
Connection: SS_F01,SS_F02,9,211,96,29,2,0
Connection: SS_F02,SS_S02,5,117,15,14,1,2
Connection: SS_F02,SS_H01,18,115,184,5,1,3
Connection: SS_WJets,SS_WOnescreen,3,17,41,31,2,1
Connection: SS_LAB1,SS_LAB8,9,31,45,31,2,0
Connection: SS_LAB1,SS_LAB9,26,2,27,31,3,1
Connection: SS_LAB10,SS_LAB5,43,31,9,31,0,2
Connection: SS_LAB10,SS_LAB11,8,3,43,3,2,0
Connection: SS_LAB11,SS_LAB7,27,31,24,2,1,3
Connection: SS_LAB12,SS_LAB6,27,31,26,1,1,3
Connection: SS_LAB12,SS_LAB3,8,3,43,3,2,0
Connection: SS_LAB12,SS_LAB4,24,2,27,32,3,1
Connection: SS_LAB2,SS_LAB6,43,31,9,31,0,2
Connection: SS_LAB2,SS_LAB3,26,2,27,31,3,1
Connection: SS_LAB3,SS_LAB5,26,2,24,32,3,1
Connection: SS_LAB4,SS_LAB5,9,31,43,31,2,0
Connection: SS_LAB7,SS_LAB8,29,31,25,2,1,3
Connection: SS_LAB7,SS_LAB9,43,3,8,3,0,2
Connection: SS_WOnescreen,SS_WZapE,5,23,23,3,2,3
Connection: SS_WOnescreen,SS_WHall,6,1,94,10,3,0
Connection: SS_WChamber,SS_WHall,43,57,5,18,1,2
Connection: SS_WZapE,SS_WZapZag,23,106,2,14,1,2
Connection: SS_WZapE,SS_WZapNon,44,69,4,17,0,2
